Section,Type,Name,Method,2017/05/30 check,Category
Water,Control,대도시지역의극한홍수로인한복합영향메커니즘분석(채여라),TextMining,T,Project
Water,Control,대도시지역의극한홍수로인한복합영향메커니즘분석(채여라),SystemAnal,T,Project
Water,Treatment,샛강관리및이용활성화방안연구강형식,Survey,T,Project
Water,Treatment,물환경서비스와물인프라의지속가능성평가강형식,Case,T,Project
Water,Treatment,물환경서비스와물인프라의지속가능성평가강형식,Survey,T,Project
Water,Treatment,물환경서비스와물인프라의지속가능성평가강형식,Econometrics,T,Project
Water,Treatment,물환경서비스와물인프라의지속가능성평가강형식,Index,T,Project
Water,Treatment,사회적투자수익률을고려한물환경인프라시설투자방향연구(류재나.강형식),Scenario,T,Basic
Water,Treatment,사회적투자수익률을고려한물환경인프라시설투자방향연구(류재나.강형식),Econometrics,T,Basic
Water,Treatment,가뭄단계에따른적응형가뭄관리정책연구:지역차원의비구조적가뭄대책을중심으로(김호정),Lit,T,Policy
Water,Treatment,사물인터넷을활용한스마트물환경관리방안및정책기반마련연구(한혜진),Lit,T,Basic
Water,Preparation,물이용지속성의평가와미래전망(김익제),Index,T,Climate
Water,Preparation,물이용지속성의평가와미래전망(김익제),Econometrics,T,Climate
Water,Preparation,"기후변화 및 사회경제적 요인의 동태적 변화를 고려한 미래 물수급 관리정책 마련 1 (류재나,김호정.김민아)",SystemAnal,T,Climate
Waste,Treatment,공간정보를활용한재해폐기물성상별최적관리방안(조지혜),Scenario,T,Basic
Waste,Treatment,폐자원흐름분석을통한전기전자제품의upcycling활성화방안(이희선),SampleStats,T,Basic
Waste,Treatment,나노폐기물의안전처리를위한관리전략수립연구(조지혜),Scenario,T,Policy
Waste,Support,자원순환사회전환촉진을위한재활용산업활성화방안-재활용관리제도전환에따른영향분석(이소라),Econometrics,T,Basic
Waste,Support,자원순환사회전환촉진을위한재활용산업활성화방안-재활용관리제도전환에따른영향분석(이소라),Modeling,T,Basic
AirClimate,Control,빅데이터를이용한대기오염의건강영향평가및피해비용추정2(안소은),Econometrics,T,Project
AirClimate,Control,빅데이터를이용한대기오염의건강영향평가및피해비용추정2(안소은),Survey,T,Project
AirClimate,Control,온실가스감축정책평가를위한환경경제모형개발운용3(강성원박창석),Modeling,T,Project
AirClimate,Control,교통환경정책수립을위한대기환경개선효과추정방안연구:도로이동오염원을중심으로(한진석),Modeling,T,Basic
AirClimate,Control,대기환경비용을고려한친환경차구매보조금실효성제고연구:차종별적정보조금수준분석을중심으로(한진석),Modeling,T,Policy
AirClimate,Control,대기환경비용을고려한친환경차구매보조금실효성제고연구:차종별적정보조금수준분석을중심으로(한진석),Scenario,T,Policy
AirClimate,Control,실도로에서경유차의대기오염물질초과배출에따른사회적비용연구(강광규),Case,T,Policy
AirClimate,Control,제주탄소제로섬추진전략연구(이병국),Case,T,Policy
AirClimate,Control,자율주행자동차의친환경성제고를위한기초연구(이승민),Lit,T,WP
AirClimate,Control,기후대기환경정책에활용하기위한건강위해성평가개선연구:농도반응함수의국내표준안을중심으로(하종식),Econometrics,T,Basic
AirClimate,Control,기후변화에따른건강영향평가적응기술및정책지원시스템개발(신용승),Modeling,T,Project
AirClimate,Treatment,온실가스감축-기후변화적응연계전략수립(황인창),Lit,T,Climate
AirClimate,Treatment,도시의기후회복력확보를위한공간단위별평가체계및모형개발2(김동현),Index,T,Basic
AirClimate,Treatment,도시의기후회복력확보를위한공간단위별평가체계및모형개발2(김동현),Econometrics,T,Basic
AirClimate,Treatment,기후변화적응정책지원을위한토지이용통합모델개발2(김오석),Modeling,T,Basic
AirClimate,Treatment,기후변화적응정책지원을위한토지이용통합모델개발2(김오석),Econometrics,T,Basic
AirClimate,Treatment,기후변화대응역량강화를위한시스템다이내믹스모델개발(채여라),Modeling,T,Project
AirClimate,Treatment,기후환경대응역량평가체계구축(채여라),Survey,T,Project
AirClimate,Treatment,기후환경대응역량평가체계구축(채여라),SampleStats,T,Project
AirClimate,Preparation,환경평가지원을위한지역환경현황분석시스템구축및운영:개발계획으로인한국내대기질변화전망및개발계획의적정성평가를위한대기환경분석(문난경),SampleStats,T,Project
AirClimate,Support,환경과문화예술콘텐츠웅합을통한기후환경리스크커뮤니케이션전략수립(신용승),TextMining,T,Climate
AirClimate,Support,"신기후체제시대기후변화대응정책추진체계연구(김이진,이상엽)",Lit,T,Policy
AirClimate,Support,저탄소기후변화적응사회를위한사회경제변화시나리오개발(채여라),Scenario,T,Project
AirClimate,Support,공공자료분석을통한친환경적풍력에너지개발기초연구(김태윤),Case,T,WP
Nature,Control,기후변화에따른국가리스크정량화연구3:연안시스템을중심으로(조광우),Modeling,T,Project
Nature,Control,화학물질관리법내화학사고정책의개선방안및산업계지원방안연구1(박정규),Lit,T,Basic
Nature,Control,EUREACH시험자료분석을통한화평법지원방안연구(박정규),Lit,T,Policy
Nature,Control,"화학사고의경제적손실추정을위한방법론진단및선정방안연구:인적생태적피해액추정을중심으로(서양원,곽소윤)",Econometrics,T,Policy
Nature,Control,토지환경분야의지속가능발전목표(SDGs)이행을위한정책방향(명수정),Index,T,WP
Nature,Control,생물다양성협약이행지원프로그램기획운영2(이현우),Lit,T,Project
Nature,Control,유네스코세계지질공원운영강화에따른국가지질공원제도의개선방안연구(이수재),Lit,T,Policy
Nature,Control,제3차국가생물다양성전략이행상황점검(이현우),SpecialCouncil,T,Project
Nature,Control,제3차국가생물다양성전략이행상황점검(이현우),SampleStats,T,Project
Nature,Treatment,농촌지역환경복지증진을위한가축매몰지피해관리방안연구(황상일),Survey,T,Project
Nature,Treatment,원전사고대응재생계획수립방안연구1:후쿠시마원전사고의중장기모니터링에기반하여(조공장),Lit,T,Project
Nature,Treatment,드론을이용한환경재난사후대응기술및연구동향분석연구,Lit,T,WP
Nature,Treatment,신기후체제의기후변화적응및손실과피해에관한대응방안(이승준),Lit,T,Policy
Nature,Treatment,토양정화곤란부지의최적관리방안연구(박용하),Lit,T,Policy
Nature,Treatment,국내능선축GIS기반통합관리시스템개발(이수재),DB,T,Project
Nature,Preparation,토양자원관리를위한전략환경영향평가개선기초연구:도시개발사업을중심으로(양경),Lit,T,WP
Nature,Preparation,지하수개발사업의환경영향평가개선을위한기초연구(김경호),Lit,T,WP
Nature,Preparation,지중환경관리를위한제도개선방안연구2(황상일),Lit,T,Basic
Nature,Preparation,비도시지역주거-공장혼재형난개발평가기준개발및활용방안마련(이영재),Index,T,Policy
Nature,Preparation,환경영향평가와지하안전영향평가의연계방안연구(현윤정),Lit,T,Policy
Nature,Preparation,랜덤워크를이용한생태네트워크변화모의예측방안연구(김지영),Modeling,T,Basic
Nature,Preparation,국가및지역미래성장동력에대한환경성분석및환경영향평가대비방안연구(방상원),Lit,T,Basic
Nature,Preparation,환경평가지원을위한지역환경현황분석시스템구축및운영:개발계획에따른생태및연안환경변화분석(김오석),SampleStats,T,Project
Nature,Preparation,환경평가지원을위한지역환경현황분석시스템구축및운영:개발계획에따른인구변화패턴분석(이상윤),SampleStats,T,Project
Nature,Preparation,생태계서비스기반의자연자본지속가능성지수개발연구(이현우),Lit,T,Basic
Nature,Support,시민과학의자연환경조사적용방안조사(김윤정),Lit,T,WP
Nature,Support,근지표환경임계영역(CriticalZones)의환경적중요성과환경관리의미래이슈,Lit,T,WP
Nature,Support,환경영향평가에서활용가능한주민참여방법기초연구(이상윤),Lit,T,WP
Nature,Support,자연혜택평가를통한지역경제활성화방안1(김충기),Modeling,T,Project
Nature,Support,통일대비북한지역자연재해대응을위한자료구축과남북협력방안연구(강택구),Lit,T,Project
ETC,Control,개발사업의소음모니터링분석과개선방안(선효성),Lit,T,Project
ETC,Control,건물부문의환경부하평가모형개발을위한기초연구(송지윤),Lit,T,WP
ETC,Preparation,미래환경이슈대응을위한환경정책과제개발과환경거버넌스발전연구(추장민),Record,T,Policy
ETC,Preparation,미래환경전망및지속가능사회비전설정기반구축(조공장),SampleStats,T,Climate
ETC,Preparation,시스템과네트워크이론을활용한미래환경정책방향연구(이승준),Lit,T,WP
ETC,Preparation,국가지속가능성평가등에관한연구(김종호),SampleStats,T,Project
ETC,Preparation,미래고온환경변화와직종간임금격차추정(김동현),Econometrics,T,WP
ETC,Support,환경경제통합분석을위한환경가치종합연구(이창훈),DB,T,Project
ETC,Support,해외환경정책인벤토리구축연구(조일현외),Lit,T,WP
ETC,Support,기후변화정책포럼2016(이상엽),Record,T,Project
ETC,Support,친환경적태도-행동분석모형구축을통한친환경소비활성화방안연구(곽소윤),Index,T,Project
ETC,Support,친환경적태도-행동분석모형구축을통한친환경소비활성화방안연구(곽소윤),Modeling,T,Project
ETC,Support,친환경적태도-행동분석모형구축을통한친환경소비활성화방안연구(곽소윤),Econometrics,T,Project
ETC,Support,해외환경정책인벤토리구축연구:환경평가부문(박하늘),Lit,T,WP
ETC,Support,ICT발전트렌드에대응하는공간정보의환경이슈적용체계구축(이명진.이정호),TextMining,T,Basic
ETC,Support,해외환경정책인벤토리구축연구:환경보건및온실가스감축부문,Lit,T,WP
ETC,Support,정부3.0기반지역기피시설주민수용성평가방안2(김태현),Econometrics,T,Basic
ETC,Support,지역기반환경보건정책지원방안연구2(신용승.배현주),Lit,T,Basic
ETC,Support,지역기반환경보건정책지원방안연구2(신용승.배현주),Case,T,Basic
ETC,Support,녹색경제평가를위한지표체계개발(김종호),Index,T,Project
ETC,Support,한중일3국의환경투자가산업에미치는영향비교분석및환경산업활성화방안연구(이정석),Modeling,T,Project
ETC,Support,"미세조류바이오매스의자원화활용에대한연구:바이오(기능성)소재를중심으로(지민규)""",Lit,T,WP
ETC,Support,신기후체제협상대응및기후서비스산업발전방안연구(강상인),Lit,T,Climate
ETC,Support,신기후체제협상대응및기후서비스산업발전방안연구(강상인),Case,T,Climate
ETC,Support,아태지역녹색경제이행과메통유역농업부문융합혁신전략연구(강상인),Lit,T,Project
ETC,Support,"최빈국지역정부의기후변화적응계획수립을위한기술적가이드라인개발연구(장훈,송영일)",Lit,T,Climate
ETC,Support,"최빈국지역정부의기후변화적응계획수립을위한기술적가이드라인개발연구(장훈,송영일)",Case,T,Climate
ETC,Support,중국의일대일로대응유라시아지역환경전략연구(추장민),Lit,T,Basic
ETC,Support,환경분야공적개발원조(ODA)사업평가지침마련을위한연구(조공장),Lit,T,Policy
ETC,Support,Post2020신기후체제협상적응의제대응방안연구(이승준),Lit,T,Project
ETC,Support,북한환경정보구축및활용방안연구2:원격탐사를이용한자완현경성우수지역평가,Econometrics,T,Basic
ETC,Support,북한환경정보구축및활용방안연구2:원격탐사를이용한자완현경성우수지역평가,DB,T,Basic
ETC,Support,2016국민환경의식조사연구,Survey,T,WP
ETC,Support,건강영향평가분야에서의위해소통을위한리스크테이블제작연구,SampleStats,T,WP
