Year,총배출량,총배출량 증감률
null,null,null
1990,292105.06,null
1991,315352.61,7.958626255909428
1992,343354.15,8.879438162886947
1993,378545.97,10.249423226717937
1994,403568.61,6.610198491876698
1995,433787.92,7.4880229163512
1996,470280.3,8.412493367726794
1997,501912.25,6.726190741989408
1998,431434.46,-14.041854925836136
1999,469414.83,8.803276863883333
2000,502730.45,7.0972661856464985
2001,516008.72,2.641230504338848
2002,538458.07,4.350575703449349
2003,548808.43,1.9222220961420642
2004,557058.76,1.503316922445954
2005,561521.94,0.8012045264309163
2006,567057.02,0.9857281800957012
2007,580468.84,2.365162501647532
2008,594047.09,2.339186716723675
2009,598040.34,0.6722110195001545
2010,656119.74,9.71161911920524
2011,684756.04,4.364492981113485
2012,688043.7,0.4801213582577403
2013,697297.56,1.3449523627641824
2014,692088.95,-0.7469709201334509
2015,692626.49,0.07766920711565144
2016,693687.73,0.1532196667788422
2017,710645.38,2.444565366609558
2018,726977.59,2.298222215980629
2019,701213.74,-3.5439675657677396
2020,656222.88,-6.416140676307909