Year,분야,분야별 증감률
1990,산업공정,null
1990,에너지,null
1990,null,null
1990,LULUCF,null
1990,폐기물,null
1990,농업,null
1991,null,null
1991,산업공정,19.104430890531237
1991,LULUCF,-10.491354453944275
1991,농업,1.2715230524945516
1991,폐기물,12.08665182445655
1991,에너지,7.415363848557815
1992,산업공정,23.01480595063369
1992,폐기물,9.54880841610843
1992,에너지,8.090419555854547
1992,농업,1.894261138807317
1992,LULUCF,-2.440861098570096
1992,null,null
1993,null,null
1993,LULUCF,-4.789287586981152
1993,에너지,10.57514054969248
1993,농업,2.1612547116147645
1993,산업공정,14.912723465850505
1993,폐기물,5.898305031623952
1994,에너지,6.256039509392242
1994,null,null
1994,농업,2.015932420195413
1994,폐기물,7.081482029559201
1994,산업공정,12.549981814230929
1994,LULUCF,7.5484045452253925
1995,농업,1.18195961970501
1995,LULUCF,-5.221978221538661
1995,null,null
1995,산업공정,11.368924185146355
1995,에너지,7.382862606821337
1995,폐기물,9.308176361373743
1996,LULUCF,11.466642861097617
1996,에너지,9.540160547417123
1996,null,null
1996,산업공정,3.763539422650165
1996,농업,2.248314574738222
1996,폐기물,4.892777494020017
1997,null,null
1997,폐기물,4.312545010229931
1997,농업,0.0343708442670779
1997,LULUCF,13.301674108482056
1997,산업공정,10.884074315053416
1997,에너지,6.7522375454608206
1998,null,null
1998,에너지,-14.606817158637542
1998,산업공정,-17.88382142264349
1998,LULUCF,20.48029003104484
1998,농업,-1.1777180374222218
1998,폐기물,-6.935389290573422
1999,LULUCF,16.660734979936866
1999,농업,-4.876868753210771
1999,null,null
1999,산업공정,18.78565038393806
1999,폐기물,5.138497448567844
1999,에너지,8.71125256978576
2000,null,null
2000,산업공정,5.051380736617269
2000,에너지,7.712887802391742
2000,LULUCF,5.284240709971831
2000,폐기물,11.636221285118273
2000,농업,-2.611987744002227
2001,에너지,3.485046857061328
2001,LULUCF,-0.9258735299698136
2001,산업공정,-2.9110754383833584
2001,null,null
2001,농업,-2.342154141624311
2001,폐기물,4.843156720574138
2002,에너지,4.537379889208199
2002,LULUCF,-3.6667086640628233
2002,산업공정,8.69393994614185
2002,null,null
2002,농업,-0.6564502139608783
2002,폐기물,-5.213746399977006
2003,농업,-1.2411661395251978
2003,산업공정,5.227125609016659
2003,LULUCF,-0.8479234385681095
2003,에너지,1.7311060864207108
2003,null,null
2003,폐기물,0.4990611667929822
2004,null,null
2004,농업,0.4583862459704921
2004,산업공정,3.8516756914453385
2004,폐기물,-5.9704867592894155
2004,LULUCF,2.474684550576025
2004,에너지,1.5692514562906594
2005,LULUCF,-3.3574338765409313
2005,산업공정,-6.993542452879245
2005,null,null
2005,농업,0.8308111931971549
2005,에너지,2.0218506473506745
2005,폐기물,-5.107672829591036
2006,농업,0.5115549505683336
2006,LULUCF,2.0003942503383025
2006,산업공정,-0.4377959365455145
2006,null,null
2006,폐기물,1.516730627928256
2006,에너지,1.1530969047783213
2007,LULUCF,1.1799259033693517
2007,산업공정,-5.8506991871594884
2007,null,null
2007,에너지,3.711203163100149
2007,농업,1.0826670606894195
2007,폐기물,-7.342193098924314
2008,LULUCF,1.5842787675361552
2008,산업공정,-0.8023885126151722
2008,null,null
2008,농업,0.35827341543865404
2008,에너지,2.8736381613617428
2008,폐기물,-1.4940883846127577
2009,에너지,1.2805598349525733
2009,LULUCF,-0.3326546870550856
2009,산업공정,-5.809803285422401
2009,null,null
2009,농업,2.4050895701738155
2009,폐기물,-0.3490337676878885
2010,LULUCF,-4.689994410057067
2010,산업공정,10.921372720738034
2010,null,null
2010,에너지,10.262388977115403
2010,농업,1.9195948014668511
2010,폐기물,-1.3217048333952606
2011,LULUCF,-1.5112435607914132
2011,산업공정,-0.09764963589854557
2011,농업,-4.302987052706699
2011,에너지,5.119967295282493
2011,null,null
2011,폐기물,4.3937554229016484
2012,LULUCF,-10.823934598858164
2012,에너지,0.22693649736669155
2012,산업공정,2.794553846380461
2012,null,null
2012,농업,1.6553057043441561
2012,폐기물,0.6783322424025412
2013,농업,-0.5703724887262199
2013,LULUCF,-8.60180428723792
2013,산업공정,1.1575874592854734
2013,에너지,1.4299330426567332
2013,null,null
2013,폐기물,1.386693837783966
2014,LULUCF,1.8881923721906377
2014,산업공정,5.1816594574824055
2014,에너지,-1.2537762976130344
2014,null,null
2014,농업,0.12511874804428355
2014,폐기물,-3.112323119695431
2015,null,null
2015,LULUCF,1.5146711969591484
2015,에너지,0.5558324455394712
2015,산업공정,-5.911900167911981
2015,농업,-1.826808948823436
2015,폐기물,6.5237841961110155
2016,에너지,0.32692011445394487
2016,LULUCF,0.8020913738988031
2016,산업공정,-1.8836097835254337
2016,농업,-0.8313016227632853
2016,null,null
2016,폐기물,1.775415690114
2017,에너지,2.2277996567082523
2017,LULUCF,-11.176744312893959
2017,산업공정,5.586794047895132
2017,농업,0.7144326250677491
2017,null,null
2017,폐기물,2.3595249291164957
2018,에너지,2.758854075485156
2018,LULUCF,-3.2482563545071743
2018,산업공정,-1.165074924876724
2018,null,null
2018,농업,0.846160856448005
2018,폐기물,-0.9786474845012951
2019,산업공정,-6.50109371345514
2019,LULUCF,-6.506113768480837
2019,에너지,-3.329293159085784
2019,null,null
2019,농업,-0.8104362653787118
2019,폐기물,-5.185448452983757
2020,LULUCF,0.43940401223331627
2020,산업공정,-6.979460324841727
2020,null,null
2020,폐기물,1.2982860492535986
2020,농업,0.4093637546603154
2020,에너지,-6.81036312286042